"Species","Region","enddecade_year","startdecade_year","change_lastdecade"
"Chinook","CC",2017,2008,-12.6660045318568
"Chinook","Nass",2017,2008,-30.1676653799703
"Chinook","Skeena",2017,2008,-39.6389048743102
"Chum","CC",2017,2008,-42.7270106455219
"Chum","HG",2017,2008,-54.7526221356126
"Chum","Nass",2016,2007,-74.3306910560954
"Chum","Skeena",2017,2008,-89.7201310624725
"Chum","VIMI",2015,2006,-36.7706092936286
"Coho","CC",2016,2007,-12.7505976856391
"Coho","HG",2017,2008,-11.621105316027
"Coho","Nass",2014,2005,40.4581491910397
"Coho","Skeena",2017,2008,-28.5799352968989
"Pink (Even)","CC",2016,2007,-65.8208075886614
"Pink (Even)","HG",2010,2001,-29.9161290284995
"Pink (Even)","Skeena",2016,2007,-53.6776230114189
"Pink (Even)","VIMI",2018,2009,-13.0845255062268
"Pink (Odd)","CC",2017,2008,85.2266368967822
"Pink (Odd)","Fraser",2017,2008,11.7841636875308
"Pink (Odd)","HG",2017,2008,20.0320039273534
"Pink (Odd)","Nass",2017,2008,14.8612956958893
"Pink (Odd)","Skeena",2017,2008,-48.0815698203494
"Pink (Odd)","VIMI",2019,2010,99.6773908178413
"Sockeye","CC",2014,2005,-73.7891551906645
"Sockeye","Columbia",2014,2005,586.487456675018
"Sockeye","Fraser",2019,2010,-9.64567376464791
"Sockeye","HG",2016,2007,-37.7488751962634
"Sockeye","Nass",2017,2008,-46.4076134405575
"Sockeye","Skeena",2017,2008,-30.3591363905784
"Sockeye","VIMI",2020,2011,27.710166506726
