"Species","Region","enddecade_year","startdecade_year","change_lastdecade"
"Chinook","CC",2017,2008,-12.6660045318568
"Chinook","Nass",2017,2008,-30.1676653799703
"Chinook","Skeena",2017,2008,-39.6389048743102
"Chum","CC",2017,2008,-42.7270106455219
"Chum","HG",2013,2004,-55.736256110292
"Chum","Nass",2016,2007,-74.3306910560954
"Chum","Skeena",2017,2008,-89.7201310624725
"Chum","VIMI",2015,2006,-36.7706092936286
"Coho","CC",2016,2007,-12.7505976856391
"Coho","HG",2017,2008,-28.1252868896241
"Coho","Nass",2014,2005,40.4581491910397
"Coho","Skeena",2017,2008,-28.5799352968989
"Pink","CC",2017,2008,-13.7049549128042
"Pink","Fraser",2017,2008,11.7841636875308
"Pink","HG",2013,2004,-38.0335497080808
"Pink","Nass",2017,2008,14.8612956958893
"Pink","Skeena",2017,2008,-46.1374464096897
"Pink","VIMI",2019,2010,41.2110147046496
"Sockeye","CC",2014,2005,-73.7891551906645
"Sockeye","Columbia",2014,2005,586.487456675018
"Sockeye","Fraser",2019,2010,-9.64567376464791
"Sockeye","HG",2017,2008,-24.7704682705661
"Sockeye","Nass",2017,2008,-46.4076134405575
"Sockeye","Skeena",2017,2008,-30.3591363905784
"Sockeye","VIMI",2020,2011,27.710166506726
