"Species","Region","Year","reg_runsize_raw","reg_runsize_relative"
"Chinook","CC",1985,8121.57142857143,37.4484768601061
"Chinook","CC",1986,8551.85714285714,49.3457212504716
"Chinook","CC",1987,5886.28571428571,34.4713328904755
"Chinook","CC",1988,5821.42857142857,34.6121156271899
"Chinook","CC",1989,6930.28571428571,34.0892046965776
"Chinook","CC",1990,7048.14285714286,39.6054874038702
"Chinook","CC",1991,5892.42857142857,29.577949192833
"Chinook","CC",1992,9902.28571428571,43.1598055046773
"Chinook","CC",1993,11291.5714285714,41.956595028177
"Chinook","CC",1994,8083.5,31.7528567583424
"Chinook","CC",1995,8975.33333333333,26.3778510567809
"Chinook","CC",1996,7277.66666666667,27.563792408886
"Chinook","CC",1997,7302.83333333333,30.2873033211164
"Chinook","CC",1998,9352.83333333333,50.5559264229537
"Chinook","CC",1999,6854.71428571429,35.5370270461621
"Chinook","CC",2000,8408.14285714286,41.5355694018381
"Chinook","CC",2001,9747.5,51.8164766678719
"Chinook","CC",2002,7106.28571428571,51.4007482087321
"Chinook","CC",2003,6328.28571428571,39.4617783839828
"Chinook","CC",2004,7729.42857142857,43.8522688718873
"Chinook","CC",2005,9626.14285714286,52.6333219628526
"Chinook","CC",2006,9153,54.7352336280836
"Chinook","CC",2007,7174.5,49.3464308955404
"Chinook","CC",2008,4744,29.5980529832177
"Chinook","CC",2009,6915,44.2955625224438
"Chinook","CC",2010,7014.83333333333,28.8063699180626
"Chinook","CC",2011,6846.16666666667,28.4529971446611
"Chinook","CC",2012,3345,17.2297604314011
"Chinook","CC",2013,9424,44.2209831004729
"Chinook","CC",2014,9791,43.2236682731193
"Chinook","CC",2015,15658.1666666667,52.2763137041146
"Chinook","CC",2016,12126,48.4923328105556
"Chinook","CC",2017,5483.66666666667,28.0622107193775
"Chinook","Nass",1986,24465,71.707357581797
"Chinook","Nass",1987,13724.5,46.8777338588912
"Chinook","Nass",1988,10845,36.9399250046893
"Chinook","Nass",1989,18576.5,49.5870128973557
"Chinook","Nass",1990,16864,58.2872195064633
"Chinook","Nass",1991,6385.5,24.8767695769129
"Chinook","Nass",1992,17905,49.9433719036084
"Chinook","Nass",1993,22958,61.5178836389475
"Chinook","Nass",1994,21380,87.7250131133427
"Chinook","Nass",1995,10924.5,37.4077857934515
"Chinook","Nass",1996,21030.5,58.7650767582196
"Chinook","Nass",1997,18347,59.0616282140814
"Chinook","Nass",1998,23087,68.1252666936701
"Chinook","Nass",1999,14676.5,46.2889286696264
"Chinook","Nass",2000,16561,49.4907496517464
"Chinook","Nass",2001,23844,87.9226568885287
"Chinook","Nass",2002,14304.5,48.2744954509693
"Chinook","Nass",2003,21933,71.6952337730802
"Chinook","Nass",2004,16863,56.4644290080725
"Chinook","Nass",2005,13943.5,50.1393175674299
"Chinook","Nass",2006,22063.5,91.1369721046723
"Chinook","Nass",2007,19672.5,69.090420229258
"Chinook","Nass",2008,15042,55.1264196307827
"Chinook","Nass",2009,19899,71.7179715398328
"Chinook","Nass",2010,13893.5,50.4576224556138
"Chinook","Nass",2011,9323.5,33.0407812515711
"Chinook","Nass",2012,7944,27.6131461409665
"Chinook","Nass",2013,8238.5,27.9889053209985
"Chinook","Nass",2014,11162,39.3727378506631
"Chinook","Nass",2015,16205.5,57.616836301376
"Chinook","Nass",2016,8838,31.4290186078868
"Chinook","Nass",2017,5372.5,18.7882673905286
"Chinook","Skeena",1984,12551.5714285714,18.8356635629526
"Chinook","Skeena",1985,22949.1428571429,43.9826319618181
"Chinook","Skeena",1986,23231.7142857143,49.4320857902669
"Chinook","Skeena",1987,15227.2857142857,38.2780498544035
"Chinook","Skeena",1988,32824,62.8127271731914
"Chinook","Skeena",1989,19346.7142857143,41.2766460266555
"Chinook","Skeena",1990,19549.5714285714,38.0603020119842
"Chinook","Skeena",1991,28213.4285714286,41.9452649764496
"Chinook","Skeena",1992,26447.1666666667,51.0776765201335
"Chinook","Skeena",1993,25086,42.6589171432563
"Chinook","Skeena",1994,9830.28571428571,20.1256566430895
"Chinook","Skeena",1995,18583,32.7760410627278
"Chinook","Skeena",1996,27210.5,38.9667085336504
"Chinook","Skeena",1997,16684.8333333333,30.3230728633206
"Chinook","Skeena",1998,15187.8333333333,40.9394890970118
"Chinook","Skeena",1999,18780.6666666667,32.6750666001132
"Chinook","Skeena",2000,19608,42.3380523485708
"Chinook","Skeena",2001,25455.8571428571,62.3774428905455
"Chinook","Skeena",2002,15493.6666666667,37.8560457646159
"Chinook","Skeena",2003,18870.1666666667,43.2177187365621
"Chinook","Skeena",2004,16430.4,38.206025718602
"Chinook","Skeena",2005,14579.8333333333,30.9483650284865
"Chinook","Skeena",2006,18740.5,38.5561996187139
"Chinook","Skeena",2007,19695.2,41.1054917136432
"Chinook","Skeena",2008,27133.25,38.9994506028756
"Chinook","Skeena",2009,15286,23.2569370410817
"Chinook","Skeena",2010,19788.5,24.2670450572358
"Chinook","Skeena",2011,15983.2,21.844660688625
"Chinook","Skeena",2012,18848.5,21.960769224171
"Chinook","Skeena",2015,27458,27.9000409835757
"Chinook","Skeena",2016,26206.3333333333,27.1191379696793
"Chinook","Skeena",2017,10112.3333333333,12.4564038266449
"Chum","CC",1954,322497.714285714,41.8906471170368
"Chum","CC",1955,168179.571428571,19.6366939097595
"Chum","CC",1956,191057.428571429,20.9507744612643
"Chum","CC",1957,277448.142857143,34.5753244798634
"Chum","CC",1958,344331.714285714,47.7249406422307
"Chum","CC",1959,101504.857142857,11.4879072127909
"Chum","CC",1960,154461.571428571,21.1910265683537
"Chum","CC",1961,128706.571428571,14.8627067966155
"Chum","CC",1962,269852.285714286,31.4847232234323
"Chum","CC",1963,249287.428571429,28.183171985461
"Chum","CC",1964,310437.428571429,38.7008833997172
"Chum","CC",1965,115218.142857143,12.3857799801842
"Chum","CC",1966,358221.142857143,31.7490565551861
"Chum","CC",1967,196432.571428571,22.9681877257679
"Chum","CC",1968,436376.857142857,45.9361292168606
"Chum","CC",1969,178648.714285714,19.4096337722408
"Chum","CC",1970,389904.142857143,46.7222860106155
"Chum","CC",1971,158136.142857143,18.8962743243005
"Chum","CC",1972,372742.571428571,41.7397760469908
"Chum","CC",1973,434524.714285714,55.0860081934738
"Chum","CC",1974,270425.285714286,31.4255540442614
"Chum","CC",1975,113783.428571429,13.482479143822
"Chum","CC",1976,149801.142857143,14.4469113785779
"Chum","CC",1977,161999.142857143,23.1310636886341
"Chum","CC",1978,252594.857142857,32.3245263856098
"Chum","CC",1979,163493.714285714,16.6422587767712
"Chum","CC",1980,196430.428571429,25.856111061684
"Chum","CC",1981,163467.714285714,24.8764479255701
"Chum","CC",1982,227057.285714286,34.881162523621
"Chum","CC",1983,154979.142857143,19.3143242720121
"Chum","CC",1984,136314.571428571,15.3494573232228
"Chum","CC",1985,287592.142857143,32.2846285004594
"Chum","CC",1986,533767,64.9438000564541
"Chum","CC",1987,225523,28.143732205416
"Chum","CC",1988,470452,44.8760245656103
"Chum","CC",1989,199057,21.004484967501
"Chum","CC",1990,371451.142857143,36.3687809988216
"Chum","CC",1991,172543.428571429,21.0970850884638
"Chum","CC",1992,116758.857142857,12.434846919793
"Chum","CC",1993,143339.428571429,14.1564946873285
"Chum","CC",1994,262512.857142857,24.0470522834546
"Chum","CC",1995,334025,34.6272491992127
"Chum","CC",1996,210182.285714286,21.9297935314763
"Chum","CC",1997,167110.571428571,16.188853468322
"Chum","CC",1998,564690.571428571,49.4393583023243
"Chum","CC",1999,174092,17.9595932948607
"Chum","CC",2000,149200.571428571,19.5007527705013
"Chum","CC",2001,227133.428571429,28.2493228747089
"Chum","CC",2002,411125.428571429,42.067573639741
"Chum","CC",2003,500186.875,61.9597764419473
"Chum","CC",2004,386675.375,52.0105335334907
"Chum","CC",2005,218552.25,27.2602455590091
"Chum","CC",2006,201366.875,22.975366331531
"Chum","CC",2007,110204.25,13.8407792547647
"Chum","CC",2008,42202.875,6.13345847076112
"Chum","CC",2009,81225.875,10.3911161263026
"Chum","CC",2010,44419.75,5.54566525745342
"Chum","CC",2011,180884.75,21.8422507711716
"Chum","CC",2012,156261.125,17.1412885214315
"Chum","CC",2013,193737.571428571,26.6598986747993
"Chum","CC",2014,85052.875,10.5014711954447
"Chum","CC",2015,349789.833333333,39.2046394431228
"Chum","CC",2016,195762.857142857,23.5730723423616
"Chum","CC",2017,156815.666666667,23.011681435999
"Chum","HG",1954,390274.5,72.2323460303766
"Chum","HG",1955,60569,13.6827262020328
"Chum","HG",1956,101958.25,18.4740807722072
"Chum","HG",1957,176708.6,39.8266682163181
"Chum","HG",1958,95237.4,17.0412469761621
"Chum","HG",1959,34459,6.92130972547843
"Chum","HG",1960,79426.8,13.3360065204775
"Chum","HG",1961,116703.2,19.6287710815211
"Chum","HG",1962,141889.8,22.4382457469696
"Chum","HG",1963,191900.75,30.0776129339684
"Chum","HG",1964,396636,71.8210974218107
"Chum","HG",1965,174692.4,40.5698949024131
"Chum","HG",1966,226915.8,41.731601739683
"Chum","HG",1967,228279.8,37.6374044835802
"Chum","HG",1968,352655.75,58.0095961369432
"Chum","HG",1969,166402,30.8180259254884
"Chum","HG",1970,216440,48.0567788663212
"Chum","HG",1971,191100.4,42.0448139517989
"Chum","HG",1972,167580,47.5039630518388
"Chum","HG",1973,203149.4,43.4910620414209
"Chum","HG",1974,121629,33.5204996299752
"Chum","HG",1975,55179.4,13.9397810787777
"Chum","HG",1976,79667,22.3357102298285
"Chum","HG",1977,119421.6,31.6907205489309
"Chum","HG",1978,121241,24.6290217524779
"Chum","HG",1979,43998.8,10.3315738035696
"Chum","HG",1980,115961.6,21.3107442152003
"Chum","HG",1981,85772.8,17.225083756253
"Chum","HG",1982,116085.6,27.9002644810309
"Chum","HG",1983,70694.2,13.1138829739862
"Chum","HG",1984,187620.4,36.8814373953776
"Chum","HG",1985,295537.2,55.8715750547048
"Chum","HG",1986,196966.4,48.3481713763403
