"Species","Region","enddecade_year","startdecade_year","change_lastdecade"
"Chinook","CC",2017,2008,-11.7661224154995
"Chinook","Nass",2017,2008,-26.7102725653893
"Chinook","Skeena",2017,2008,-27.5499842884065
"Chinook","Transboundary",2021,2012,-38.6225011491529
"Chum","CC",2017,2008,-38.7135790381329
"Chum","HG",2013,2004,-46.3536871957821
"Chum","Nass",2016,2007,-53.6763719994563
"Chum","Skeena",2017,2008,-82.1193481904868
"Chum","VIMI",2015,2006,-27.1703827349161
"Coho","CC",2016,2007,-9.52015816723341
"Coho","HG",2017,2008,-7.57634000216507
"Coho","Nass",2014,2005,37.0533671951874
"Coho","Skeena",2017,2008,-14.6137413652235
"Coho","Transboundary",2021,2012,-24.7338414678766
"Pink (Even)","CC",2016,2007,-47.7220583688038
"Pink (Even)","HG",2012,2003,-11.2266203354424
"Pink (Even)","Skeena",2016,2007,-38.4773792708824
"Pink (Even)","VIMI",2018,2009,-18.2648155997621
"Pink (Odd)","CC",2017,2008,63.9524630536506
"Pink (Odd)","Fraser",2017,2008,16.9273334537073
"Pink (Odd)","HG",2013,2004,-34.5534907512007
"Pink (Odd)","Nass",2017,2008,92.2819137545464
"Pink (Odd)","Skeena",2017,2008,-21.7563393510936
"Pink (Odd)","VIMI",2019,2010,33.9472707282685
"Sockeye","CC",2014,2005,-64.1869604791836
"Sockeye","Columbia",2014,2005,155.052971092608
"Sockeye","Fraser",2019,2010,-35.4655293867483
"Sockeye","HG",2017,2008,-15.3501252076571
"Sockeye","Nass",2017,2008,-33.3330623267743
"Sockeye","Skeena",2019,2010,-25.7990577888259
"Sockeye","Transboundary",2021,2012,-10.9226666178755
"Sockeye","VIMI",2020,2011,4.23914636050874
"Steelhead","Skeena",2021,2012,4.66188370564412
